source_row,row_text,A,B,C,D,E
90,74 | 004A | LandingAirLw | Landing during Dair,74,004A,LandingAirLw,Landing during Dair,
91,75 | 004B | DamageHi1,75,004B,DamageHi1,,
92,76 | 004C | DamageHi2,76,004C,DamageHi2,,
93,77 | 004D | DamageHi3,77,004D,DamageHi3,,
94,78 | 004E | DamageN1,78,004E,DamageN1,,
95,79 | 004F | DamageN2,79,004F,DamageN2,,
96,80 | 0050 | DamageN3,80,0050,DamageN3,,
97,81 | 0051 | DamageLw1,81,0051,DamageLw1,,
98,82 | 0052 | DamageLw2,82,0052,DamageLw2,,
99,83 | 0053 | DamageLw3,83,0053,DamageLw3,,
100,84 | 0054 | DamageAir1,84,0054,DamageAir1,,
101,85 | 0055 | DamageAir2,85,0055,DamageAir2,,
102,86 | 0056 | DamageAir3,86,0056,DamageAir3,,
103,87 | 0057 | DamageFlyHi,87,0057,DamageFlyHi,,
104,88 | 0058 | DamageFlyN,88,0058,DamageFlyN,,
105,89 | 0059 | DamageFlyLw,89,0059,DamageFlyLw,,
106,90 | 005A | DamageFlyTop,90,005A,DamageFlyTop,,
107,91 | 005B | DamageFlyRoll,91,005B,DamageFlyRoll,,
108,92 | 005C | LightGet | Picking up an item,92,005C,LightGet,Picking up an item,
109,93 | 005D | HeavyGet | Picking up a heavy item (barrel),93,005D,HeavyGet,Picking up a heavy item (barrel),
110,94 | 005E | LightThrowF | Throwing items at standard speed | 0x80095a30,94,005E,LightThrowF,Throwing items at standard speed,0x80095a30
111,95 | 005F | LightThrowB,95,005F,LightThrowB,,
112,96 | 0060 | LightThrowHi,96,0060,LightThrowHi,,
113,97 | 0061 | LightThrowLw,97,0061,LightThrowLw,,
114,98 | 0062 | LightThrowDash,98,0062,LightThrowDash,,
115,99 | 0063 | LightThrowDrop,99,0063,LightThrowDrop,,
116,100 | 0064 | LightThrowAirF,100,0064,LightThrowAirF,,
117,101 | 0065 | LightThrowAirB,101,0065,LightThrowAirB,,
118,102 | 0066 | LightThrowAirHi,102,0066,LightThrowAirHi,,
119,103 | 0067 | LightThrowAirLw,103,0067,LightThrowAirLw,,
120,104 | 0068 | HeavyThrowF,104,0068,HeavyThrowF,,
121,105 | 0069 | HeavyThrowB,105,0069,HeavyThrowB,,
122,106 | 006A | HeavyThrowHi,106,006A,HeavyThrowHi,,
123,107 | 006B | HeavyThrowLw,107,006B,HeavyThrowLw,,
124,108 | 006C | LightThrowF4 | Throwing items at Smash speed,108,006C,LightThrowF4,Throwing items at Smash speed,
125,109 | 006D | LightThrowB4,109,006D,LightThrowB4,,
126,110 | 006E | LightThrowHi4,110,006E,LightThrowHi4,,
127,111 | 006F | LightThrowLw4,111,006F,LightThrowLw4,,
128,112 | 0070 | LightThrowAirF4,112,0070,LightThrowAirF4,,
129,113 | 0071 | LightThrowAirB4,113,0071,LightThrowAirB4,,
130,114 | 0072 | LightThrowAirHi4,114,0072,LightThrowAirHi4,,
131,115 | 0073 | LightThrowAirLw4,115,0073,LightThrowAirLw4,,
132,116 | 0074 | HeavyThrowF4,116,0074,HeavyThrowF4,,
133,117 | 0075 | HeavyThrowB4,117,0075,HeavyThrowB4,,
134,118 | 0076 | HeavyThrowHi4,118,0076,HeavyThrowHi4,,
135,119 | 0077 | HeavyThrowLw4,119,0077,HeavyThrowLw4,,
136,120 | 0078 | SwordSwing1 | Beam sword swings,120,0078,SwordSwing1,Beam sword swings,
137,121 | 0079 | SwordSwing3,121,0079,SwordSwing3,,
138,122 | 007A | SwordSwing4,122,007A,SwordSwing4,,
139,123 | 007B | SwordSwingDash,123,007B,SwordSwingDash,,
140,124 | 007C | BatSwing1 | Home Run Bat swings,124,007C,BatSwing1,Home Run Bat swings,
141,125 | 007D | BatSwing3,125,007D,BatSwing3,,
142,126 | 007E | BatSwing4,126,007E,BatSwing4,,
143,127 | 007F | BatSwingDash,127,007F,BatSwingDash,,
144,128 | 0080 | ParasolSwing1 | Parasol swings,128,0080,ParasolSwing1,Parasol swings,
145,129 | 0081 | ParasolSwing3,129,0081,ParasolSwing3,,
146,130 | 0082 | ParasolSwing4,130,0082,ParasolSwing4,,
147,131 | 0083 | ParasolSwingDash,131,0083,ParasolSwingDash,,
148,132 | 0084 | HarisenSwing1 | Fan swings,132,0084,HarisenSwing1,Fan swings,
149,133 | 0085 | HarisenSwing3,133,0085,HarisenSwing3,,
150,134 | 0086 | HarisenSwing4,134,0086,HarisenSwing4,,
151,135 | 0087 | HarisenSwingDash,135,0087,HarisenSwingDash,,
152,136 | 0088 | StarRodSwing1 | Star Rod swings,136,0088,StarRodSwing1,Star Rod swings,
153,137 | 0089 | StarRodSwing3,137,0089,StarRodSwing3,,
154,138 | 008A | StarRodSwing4,138,008A,StarRodSwing4,,
155,139 | 008B | StarRodSwingDash,139,008B,StarRodSwingDash,,
156,140 | 008C | LipStickSwing1 | Lip's Stick swings,140,008C,LipStickSwing1,Lip's Stick swings,
157,141 | 008D | LipStickSwing3,141,008D,LipStickSwing3,,
158,142 | 008E | LipStickSwing4,142,008E,LipStickSwing4,,
159,143 | 008F | LipStickSwingDash,143,008F,LipStickSwingDash,,
160,144 | 0090 | ItemParasolOpen,144,0090,ItemParasolOpen,,
161,145 | 0091 | ItemParasolFall,145,0091,ItemParasolFall,,
162,146 | 0092 | ItemParasolFallSpecial,146,0092,ItemParasolFallSpecial,,
163,147 | 0093 | ItemParasolDamageFall,147,0093,ItemParasolDamageFall,,
164,148 | 0094 | LGunShoot | Raygun shots,148,0094,LGunShoot,Raygun shots,
165,149 | 0095 | LGunShootAir,149,0095,LGunShootAir,,
166,150 | 0096 | LGunShootEmpty,150,0096,LGunShootEmpty,,
167,151 | 0097 | LGunShootAirEmpty,151,0097,LGunShootAirEmpty,,
168,152 | 0098 | FireFlowerShoot,152,0098,FireFlowerShoot,,
169,153 | 0099 | FireFlowerShootAir,153,0099,FireFlowerShootAir,,
170,154 | 009A | ItemScrew,154,009A,ItemScrew,,
171,155 | 009B | ItemScrewAir,155,009B,ItemScrewAir,,
172,156 | 009C | DamageScrew,156,009C,DamageScrew,,
173,157 | 009D | DamageScrewAir,157,009D,DamageScrewAir,,
174,158 | 009E | ItemScopeStart,158,009E,ItemScopeStart,,
175,159 | 009F | ItemScopeRapid,159,009F,ItemScopeRapid,,
176,160 | 00A0 | ItemScopeFire,160,00A0,ItemScopeFire,,
177,161 | 00A1 | ItemScopeEnd,161,00A1,ItemScopeEnd,,
178,162 | 00A2 | ItemScopeAirStart,162,00A2,ItemScopeAirStart,,
179,163 | 00A3 | ItemScopeAirRapid,163,00A3,ItemScopeAirRapid,,
180,164 | 00A4 | ItemScopeAirFire,164,00A4,ItemScopeAirFire,,
181,165 | 00A5 | ItemScopeAirEnd,165,00A5,ItemScopeAirEnd,,
182,166 | 00A6 | ItemScopeStartEmpty,166,00A6,ItemScopeStartEmpty,,
183,167 | 00A7 | ItemScopeRapidEmpty,167,00A7,ItemScopeRapidEmpty,,
184,168 | 00A8 | ItemScopeFireEmpty,168,00A8,ItemScopeFireEmpty,,
185,169 | 00A9 | ItemScopeEndEmpty,169,00A9,ItemScopeEndEmpty,,
186,170 | 00AA | ItemScopeAirStartEmpty,170,00AA,ItemScopeAirStartEmpty,,
187,171 | 00AB | ItemScopeAirRapidEmpty,171,00AB,ItemScopeAirRapidEmpty,,
188,172 | 00AC | ItemScopeAirFireEmpty,172,00AC,ItemScopeAirFireEmpty,,
189,173 | 00AD | ItemScopeAirEndEmpty,173,00AD,ItemScopeAirEndEmpty,,
190,174 | 00AE | LiftWait,174,00AE,LiftWait,,
191,175 | 00AF | LiftWalk1,175,00AF,LiftWalk1,,
192,176 | 00B0 | LiftWalk2,176,00B0,LiftWalk2,,
193,177 | 00B1 | LiftTurn,177,00B1,LiftTurn,,
194,178 | 00B2 | GuardOn | Shield startup | 0x80093a50,178,00B2,GuardOn,Shield startup,0x80093a50
195,179 | 00B3 | Guard | Holding shield | 0x80,179,00B3,Guard,Holding shield,0x80
196,180 | 00B4 | GuardOff | Shield release | 0x80,180,00B4,GuardOff,Shield release,0x80
197,181 | 00B5 | GuardSetOff | Shield stun,181,00B5,GuardSetOff,Shield stun,
198,182 | 00B6 | GuardReflect | 0x80,182,00B6,GuardReflect,,0x80
199,"183 | 00B7 | DownBoundU | The missed tech bounce, facing up",183,00B7,DownBoundU,"The missed tech bounce, facing up",
200,184 | 00B8 | DownWaitU | Lying on ground facing up,184,00B8,DownWaitU,Lying on ground facing up,
201,185 | 00B9 | DownDamageU | Getting hit by a low knockback move lying on ground facing up,185,00B9,DownDamageU,Getting hit by a low knockback move lying on ground facing up,
202,186 | 00BA | DownStandU | Neutral getup,186,00BA,DownStandU,Neutral getup,
203,187 | 00BB | DownAttackU | Get up attack from ground face up,187,00BB,DownAttackU,Get up attack from ground face up,
204,188 | 00BC | DownFowardU | Missed tech roll forward,188,00BC,DownFowardU,Missed tech roll forward,
205,189 | 00BD | DownBackU | Missed tech roll backward,189,00BD,DownBackU,Missed tech roll backward,
206,"190 | 00BE | DownSpotU | Does not appear to be used, may have been a stick down option for missed tech at one point",190,00BE,DownSpotU,"Does not appear to be used, may have been a stick down option for missed tech at one point",
207,"191 | 00BF | DownBoundD | The missed tech bounce, facing down",191,00BF,DownBoundD,"The missed tech bounce, facing down",
208,192 | 00C0 | DownWaitD | Lying on ground facing down | 0x80,192,00C0,DownWaitD,Lying on ground facing down,0x80
209,193 | 00C1 | DownDamageD | Getting hit by a low knockback move lying on the ground facing down | 0x80,193,00C1,DownDamageD,Getting hit by a low knockback move lying on the ground facing down,0x80
210,194 | 00C2 | DownStandD | Neutral getup | 0x80,194,00C2,DownStandD,Neutral getup,0x80
211,195 | 00C3 | DownAttackD | Get up attack from ground face down | 0x80,195,00C3,DownAttackD,Get up attack from ground face down,0x80
212,196 | 00C4 | DownFowardD | Missed tech roll forward | 0x80,196,00C4,DownFowardD,Missed tech roll forward,0x80
213,197 | 00C5 | DownBackD | Missed tech roll backward | 0x80,197,00C5,DownBackD,Missed tech roll backward,0x80
214,"198 | 00C6 | DownSpotD | Does not appear to be used, may have been a stick down option for missed tech at one point | 0x80",198,00C6,DownSpotD,"Does not appear to be used, may have been a stick down option for missed tech at one point",0x80
215,199 | 00C7 | Passive | Neutral tech,199,00C7,Passive,Neutral tech,
216,200 | 00C8 | PassiveStandF | Forward tech,200,00C8,PassiveStandF,Forward tech,
217,201 | 00C9 | PassiveStandB | Backward tech,201,00C9,PassiveStandB,Backward tech,
218,202 | 00CA | PassiveWall | Wall tech,202,00CA,PassiveWall,Wall tech,
219,203 | 00CB | PassiveWallJump | Walljump tech/plain walljump,203,00CB,PassiveWallJump,Walljump tech/plain walljump,
220,204 | 00CC | PassiveCeil | Ceiling tech,204,00CC,PassiveCeil,Ceiling tech,
221,205 | 00CD | ShieldBreakFly,205,00CD,ShieldBreakFly,,
222,206 | 00CE | ShieldBreakFall,206,00CE,ShieldBreakFall,,
223,207 | 00CF | ShieldBreakDownU,207,00CF,ShieldBreakDownU,,
224,208 | 00D0 | ShieldBreakDownD,208,00D0,ShieldBreakDownD,,
225,209 | 00D1 | ShieldBreakStandU,209,00D1,ShieldBreakStandU,,
226,210 | 00D2 | ShieldBreakStandD,210,00D2,ShieldBreakStandD,,
227,211 | 00D3 | FuraFura | Shield-break tottering | 0x80099010,211,00D3,FuraFura,Shield-break tottering,0x80099010
228,212 | 00D4 | Catch | Grab | 0x800d8c54,212,00D4,Catch,Grab,0x800d8c54
229,213 | 00D5 | CatchPull | Successfully grabbing a character - pulling them in | 0x80,213,00D5,CatchPull,Successfully grabbing a character - pulling them in,0x80
230,214 | 00D6 | CatchDash | 0x80,214,00D6,CatchDash,,0x80
231,215 | 00D7 | CatchDashPull | 0x80,215,00D7,CatchDashPull,,0x80
232,216 | 00D8 | CatchWait | Grabbing and holding a character | 0x80,216,00D8,CatchWait,Grabbing and holding a character,0x80
233,217 | 00D9 | CatchAttack | Pummel | 0x80,217,00D9,CatchAttack,Pummel,0x80
234,218 | 00DA | CatchCut | When opponent breaks of a character's grab | 0x80,218,00DA,CatchCut,When opponent breaks of a character's grab,0x80
235,219 | 00DB | ThrowF | Forward throw | 0x80,219,00DB,ThrowF,Forward throw,0x80
236,220 | 00DC | ThrowB | Back throw | 0x80,220,00DC,ThrowB,Back throw,0x80
237,221 | 00DD | ThrowHi | Up throw | 0x80,221,00DD,ThrowHi,Up throw,0x80
238,222 | 00DE | ThrowLw | Down throw | 0x80,222,00DE,ThrowLw,Down throw,0x80
239,223 | 00DF | CapturePulledHi | 0x80,223,00DF,CapturePulledHi,,0x80
240,224 | 00E0 | CaptureWaitHi | 0x80,224,00E0,CaptureWaitHi,,0x80
241,225 | 00E1 | CaptureDamageHi | 0x80,225,00E1,CaptureDamageHi,,0x80
242,226 | 00E2 | CapturePulledLw | Becoming grabbed | 0x80,226,00E2,CapturePulledLw,Becoming grabbed,0x80
243,227 | 00E3 | CaptureWaitLw | When grabbed | 0x80,227,00E3,CaptureWaitLw,When grabbed,0x80
244,228 | 00E4 | CaptureDamageLw | Pummeled | 0x80,228,00E4,CaptureDamageLw,Pummeled,0x80
245,229 | 00E5 | CaptureCut | Grab release | 0x80,229,00E5,CaptureCut,Grab release,0x80
246,230 | 00E6 | CaptureJump | Jumping mash out of grab | 0x80,230,00E6,CaptureJump,Jumping mash out of grab,0x80
247,231 | 00E7 | CaptureNeck | Does not appear to be used | 0x80,231,00E7,CaptureNeck,Does not appear to be used,0x80
248,232 | 00E8 | CaptureFoot | Does not appear to be used | 0x80,232,00E8,CaptureFoot,Does not appear to be used,0x80
249,233 | 00E9 | EscapeF | roll forward | 0x80,233,00E9,EscapeF,roll forward,0x80
250,234 | 00EA | EscapeB | roll backward | 0x80,234,00EA,EscapeB,roll backward,0x80
251,235 | 00EB | Escape | spotdodge | 0x800998ec,235,00EB,Escape,spotdodge,0x800998ec
252,236 | 00EC | EscapeAir | airdodge | 0x80099a9c,236,00EC,EscapeAir,airdodge,0x80099a9c
253,237 | 00ED | ReboundStop,237,00ED,ReboundStop,,
254,238 | 00EE | Rebound,238,00EE,Rebound,,
255,239 | 00EF | ThrownF | Thrown forward,239,00EF,ThrownF,Thrown forward,
256,240 | 00F0 | ThrownB | Thrown backward,240,00F0,ThrownB,Thrown backward,
257,241 | 00F1 | ThrownHi | Thrown up,241,00F1,ThrownHi,Thrown up,
258,242 | 00F2 | ThrownLw | Thrown down,242,00F2,ThrownLw,Thrown down,
259,243 | 00F3 | ThrownLwWomen | Thrown down as a female character,243,00F3,ThrownLwWomen,Thrown down as a female character,
260,244 | 00F4 | Pass | Drop through platform | 0x80,244,00F4,Pass,Drop through platform,0x80
261,245 | 00F5 | Ottotto | Ledge teeter,245,00F5,Ottotto,Ledge teeter,
262,246 | 00F6 | OttottoWait,246,00F6,OttottoWait,,
263,247 | 00F7 | FlyReflectWall | Missed walltech,247,00F7,FlyReflectWall,Missed walltech,
264,248 | 00F8 | FlyReflectCeil | Missed ceiling tech,248,00F8,FlyReflectCeil,Missed ceiling tech,
265,249 | 00F9 | StopWall | Wall bonk,249,00F9,StopWall,Wall bonk,
266,250 | 00FA | StopCeil | Ceiling bonk,250,00FA,StopCeil,Ceiling bonk,
267,251 | 00FB | MissFoot | Backward shield slideoff,251,00FB,MissFoot,Backward shield slideoff,
268,252 | 00FC | CliffCatch | Catching the ledge | 0x80,252,00FC,CliffCatch,Catching the ledge,0x80
269,253 | 00FD | CliffWait | Hanging on the ledge | 0x80,253,00FD,CliffWait,Hanging on the ledge,0x80
270,254 | 00FE | CliffClimbSlow | Climbing the ledge (100%+) | 0x80,254,00FE,CliffClimbSlow,Climbing the ledge (100%+),0x80
271,255 | 00FF | CliffClimbQuick | Climbing the ledge (<100%) | 0x80,255,00FF,CliffClimbQuick,Climbing the ledge (<100%),0x80
272,256 | 0100 | CliffAttackSlow | Ledge attack (100%+) | 0x80,256,0100,CliffAttackSlow,Ledge attack (100%+),0x80
273,257 | 0101 | CliffAttackQuick | Ledge attack (<100%) | 0x80,257,0101,CliffAttackQuick,Ledge attack (<100%),0x80
274,258 | 0102 | CliffEscapeSlow | Ledge roll (100%+) | 0x80,258,0102,CliffEscapeSlow,Ledge roll (100%+),0x80
275,259 | 0103 | CliffEscapeQuick | Ledge roll (<100%) | 0x80,259,0103,CliffEscapeQuick,Ledge roll (<100%),0x80
276,260 | 0104 | CliffJumpSlow1 | Ledge jump/tournament winner (100%+),260,0104,CliffJumpSlow1,Ledge jump/tournament winner (100%+),
277,261 | 0105 | CliffJumpSlow2 | Ledge jump/tournament winner (100%+),261,0105,CliffJumpSlow2,Ledge jump/tournament winner (100%+),
278,262 | 0106 | CliffJumpQuick1 | Ledge jump/tournament winner (<100%),262,0106,CliffJumpQuick1,Ledge jump/tournament winner (<100%),
279,263 | 0107 | CliffJumpQuick2 | Ledge jump/tournament winner (<100%),263,0107,CliffJumpQuick2,Ledge jump/tournament winner (<100%),
280,264 | 0108 | AppealR | Taunt right | 0x80,264,0108,AppealR,Taunt right,0x80
281,265 | 0109 | AppealL | Taunt left | 0x80,265,0109,AppealL,Taunt left,0x80
282,266 | 010A | ShoulderedWait | DK carry,266,010A,ShoulderedWait,DK carry,
283,267 | 010B | ShoulderedWalkSlow,267,010B,ShoulderedWalkSlow,,
284,268 | 010C | ShoulderedWalkMiddle,268,010C,ShoulderedWalkMiddle,,
285,269 | 010D | ShoulderedWalkFast,269,010D,ShoulderedWalkFast,,
286,270 | 010E | ShoulderedTurn,270,010E,ShoulderedTurn,,
287,271 | 010F | ThrownFF | DK carry throws,271,010F,ThrownFF,DK carry throws,
288,272 | 0110 | ThrownFB,272,0110,ThrownFB,,
289,273 | 0111 | ThrownFHi,273,0111,ThrownFHi,,
290,274 | 0112 | ThrownFLw,274,0112,ThrownFLw,,
291,275 | 0113 | CaptureCaptain,275,0113,CaptureCaptain,,
292,276 | 0114 | CaptureYoshi,276,0114,CaptureYoshi,,
293,277 | 0115 | YoshiEgg,277,0115,YoshiEgg,,
294,278 | 0116 | CaptureKoopa,278,0116,CaptureKoopa,,
295,279 | 0117 | CaptureDamageKoopa,279,0117,CaptureDamageKoopa,,
296,280 | 0118 | CaptureWaitKoopa,280,0118,CaptureWaitKoopa,,
297,281 | 0119 | ThrownKoopaF,281,0119,ThrownKoopaF,,
298,282 | 011A | ThrownKoopaB,282,011A,ThrownKoopaB,,
299,283 | 011B | CaptureKoopaAir,283,011B,CaptureKoopaAir,,
300,284 | 011C | CaptureDamageKoopaAir,284,011C,CaptureDamageKoopaAir,,
301,285 | 011D | CaptureWaitKoopaAir,285,011D,CaptureWaitKoopaAir,,
302,286 | 011E | ThrownKoopaAirF,286,011E,ThrownKoopaAirF,,
303,287 | 011F | ThrownKoopaAirB,287,011F,ThrownKoopaAirB,,
304,288 | 0120 | CaptureKirby,288,0120,CaptureKirby,,
305,289 | 0121 | CaptureWaitKirby,289,0121,CaptureWaitKirby,,
306,290 | 0122 | ThrownKirbyStar,290,0122,ThrownKirbyStar,,
307,291 | 0123 | ThrownCopyStar,291,0123,ThrownCopyStar,,
308,292 | 0124 | ThrownKirby,292,0124,ThrownKirby,,
309,293 | 0125 | BarrelWait,293,0125,BarrelWait,,
310,294 | 0126 | Bury | Stuck in ground by DK side B or similar,294,0126,Bury,Stuck in ground by DK side B or similar,
311,295 | 0127 | BuryWait,295,0127,BuryWait,,
312,296 | 0128 | BuryJump,296,0128,BuryJump,,
313,297 | 0129 | DamageSong | Put to sleep by Jigglypuff up B or similar,297,0129,DamageSong,Put to sleep by Jigglypuff up B or similar,
314,298 | 012A | DamageSongWait,298,012A,DamageSongWait,,
