source_row,row_text,A,B,C,D,E
31,0xA178 | 3EAAAAAB | 0.333333 | damage multiplier for frames of hitlag,0xA178,3EAAAAAB,0.333333,damage multiplier for frames of hitlag,
32,0xA17C | 40400000 | 3 | Base hitlag,0xA17C,40400000,3,Base hitlag,
33,0xA180 | 3F2AAAAB | 0.666667 | Hitlag multiplier on crouching,0xA180,3F2AAAAB,0.666667,Hitlag multiplier on crouching,
34,0xA184 | 3FC00000 | 1.5 | Electric hitlag multiplier,0xA184,3FC00000,1.5,Electric hitlag multiplier,
35,0xA188 | 41900000 | 18 | Max DI(?),0xA188,41900000,18,Max DI(?),
36,0xA1E4 | 3d50e560 | 0.051 | Launch speed decay per frame,0xA1E4,3d50e560,0.051,Launch speed decay per frame,
37,0xA1FC | 3F0CCCCD | 0.55,0xA1FC,3F0CCCCD,0.55,,
38,0xA230 | 41A00000 | 20 | Window to tech after hitting L/R,0xA230,41A00000,20,Window to tech after hitting L/R,
39,0xA238 | 3DCCCCCD | 0.1 | Air Friction? | (Seems to affect air friction while double jumping),0xA238,3DCCCCCD,0.1,Air Friction?,(Seems to affect air friction while double jumping)
40,0xA240 | 42700000 | 60 | Shield HP,0xA240,42700000,60,Shield HP,
41,0xA244 | 3E19999A | 0.15 | \n | (Affects the Shield's Minimum size until it breaks),0xA244,3E19999A,0.15,\n,(Affects the Shield's Minimum size until it breaks)
42,0xA248 | 41000000 | 8 | Minimum frames holding shield | (Dictates how many frames until the player can shield release.),0xA248,41000000,8,Minimum frames holding shield,(Dictates how many frames until the player can shield release.)
43,0xA258 | 3E0F5C29 | 0.14 | Shield depletion rate,0xA258,3E0F5C29,0.14,Shield depletion rate,
44,0xA25C | 3D8F5C29 | 0.07 | Shield regeneration rate,0xA25C,3D8F5C29,0.07,Shield regeneration rate,
45,0xA260 | 41F00000 | 30 | Shield reset when broken | (Shield HP resets to this after being broken),0xA260,41F00000,30,Shield reset when broken,(Shield HP resets to this after being broken)
46,0xA264 | 3F800000 | 1 | Shield Damage Multiplier? | (Makes shield receive more damage),0xA264,3F800000,1,Shield Damage Multiplier?,(Makes shield receive more damage)
47,0xA26C | 3FC00000 | 1.5 | Shield Stun Damage Multiplier | (Something related to shield pushback with low damaging attacks),0xA26C,3FC00000,1.5,Shield Stun Damage Multiplier,(Something related to shield pushback with low damaging attacks)
48,0xA270 | 40000000 | 2 | Base Shield Stun | Shield Stun = (1 - [(0xA2C8 - 0xA2C4) * AShield + 0xA2C4]) *  0xA26C * dmg + 0xA270 [Note: Affects Shield Knockback],0xA270,40000000,2,Base Shield Stun,Shield Stun = (1 - [(0xA2C8 - 0xA2C4) * AShield + 0xA2C4]) *  0xA26C * dmg + 0xA270 [Note: Affects Shield Knockback]
49,0xA274 | 3E4CCCCD | 0.2 | Shield Knockback Conversion Multiplier | Shield KB  = 0xA274 * Shield Stun * 0xA29C for normal shield. 0xA274 * Shield Stun for powershield,0xA274,3E4CCCCD,0.2,Shield Knockback Conversion Multiplier,Shield KB  = 0xA274 * Shield Stun * 0xA29C for normal shield. 0xA274 * Shield Stun for powershield
50,0xA278 | 40000000 | 2 | Digital shield pushback resistance?,0xA278,40000000,2,Digital shield pushback resistance?,
51,0xA284 | 3F800000 | 1 | Powershield projectile reflect duration,0xA284,3F800000,1,Powershield projectile reflect duration,
52,0xA288 | 3F400000 | 0.75 | Powershield projectile reflect size ratio,0xA288,3F400000,0.75,Powershield projectile reflect size ratio,
53,0xA28C | 3F000000 | 0.5 | Reflected projectiles damage ratio (powershield),0xA28C,3F000000,0.5,Reflected projectiles damage ratio (powershield),
54,0xA294 | 40400000 | 3 | Digital Powershield duration? | (Likely the frames the Powershield bubble is active for.),0xA294,40400000,3,Digital Powershield duration?,(Likely the frames the Powershield bubble is active for.)
55,0xA29C | 3F19999A | 0.6 | Normal Shield Knockback Multiplier (non-powershield) | Shield KB = 0xA274 * Shield Stun * 0xA29C for normal shield.,0xA29C,3F19999A,0.6,Normal Shield Knockback Multiplier (non-powershield),Shield KB = 0xA274 * Shield Stun * 0xA29C for normal shield.
56,0xA2B4 | 3F800000 | 1 | Lightshield size multiplier,0xA2B4,3F800000,1,Lightshield size multiplier,
57,0xA2B8 | 3F000000 | 0.5 | Digital shield size multiplier,0xA2B8,3F000000,0.5,Digital shield size multiplier,
58,0xA2BC | 3DCCCCCD | 0.1 | Lightshield damage multiplier? | (Setting it too high makes shield gain HP!),0xA2BC,3DCCCCCD,0.1,Lightshield damage multiplier?,(Setting it too high makes shield gain HP!)
59,0xA2C0 | 3E99999A | 0.3 | Digital shield damage multiplier? | (Setting it too high makes shield gain HP!),0xA2C0,3E99999A,0.3,Digital shield damage multiplier?,(Setting it too high makes shield gain HP!)
60,0xA2C4 | 3D4CCCCD | 0.05 | Analog Shield Stun Mult. Value 1 | Part of Shield Stun Formula,0xA2C4,3D4CCCCD,0.05,Analog Shield Stun Mult. Value 1,Part of Shield Stun Formula
61,0xA2C8 | 3F333333 | 0.7 | Analog Shield Stun Mult. Value 2 | Part of Shield Stun Formula,0xA2C8,3F333333,0.7,Analog Shield Stun Mult. Value 2,Part of Shield Stun Formula
62,0xA2CC | 3DCCCCCD | 0.1 | Lightshield depletion rate,0xA2CC,3DCCCCCD,0.1,Lightshield depletion rate,
63,0xA2D0 | 40000000 | 2 | Digital shield depletion rate,0xA2D0,40000000,2,Digital shield depletion rate,
64,0xA2D4 | 42800000 | 64 | Lightshield graphical size?,0xA2D4,42800000,64,Lightshield graphical size?,
65,0xA2D8 | 43C80000 | 400 | Digital shield graphical size?,0xA2D8,43C80000,400,Digital shield graphical size?,
66,0xA2F4 | BF333333 | -0.7 | min Y joystick for spotdodge,0xA2F4,BF333333,-0.7,min Y joystick for spotdodge,
67,0xA2F8 | 00000004 | 4 | max frames since joystick cardinal direction change into Y-axis for spot dodging,0xA2F8,00000004,4,max frames since joystick cardinal direction change into Y-axis for spot dodging,
68,0xA30C | 3e800000 | 0.25 | `,0xA30C,3e800000,0.25,`,
69,0xA310 | 3e800000 | 0.25 | Air Dodge Y-axis movement,0xA310,3e800000,0.25,Air Dodge Y-axis movement,
70,0xA318 | 40466666 | 3.1 | Air Dodge units of movement | (Super Wavedashes galore! Will crash if it is set too high!),0xA318,40466666,3.1,Air Dodge units of movement,(Super Wavedashes galore! Will crash if it is set too high!)
71,0xA31C | 3f666666 | 0.9 | Air Dodge momentum multiplier per frame,0xA31C,3f666666,0.9,Air Dodge momentum multiplier per frame,
72,0xA320 | 3F19999A | 0.6,0xA320,3F19999A,0.6,,
73,0xA324 | 41200000 | 10 | Air Dodge(wavedash) landing lag,0xA324,41200000,10,Air Dodge(wavedash) landing lag,
74,0xA428 | 3F000000 | 0.5 | Air Dodge special fall horizontal tumble multiplier | (How fast you tumble in special fall)(High values will cause it to hang with ALMOST no chance of game unfreezing),0xA428,3F000000,0.5,Air Dodge special fall horizontal tumble multiplier,(How fast you tumble in special fall)(High values will cause it to hang with ALMOST no chance of game unfreezing)
75,0xA42C | 3F000001 | 0.6 | Shield angling speed | (High values will cause it to hang),0xA42C,3F000001,0.6,Shield angling speed,(High values will cause it to hang)
76,0xA430 | 3E99999A | 0.3 | Player on player collision x-push | (High values cause instant death) (How much momentum is given upon touching another player),0xA430,3E99999A,0.3,Player on player collision x-push,(High values cause instant death) (How much momentum is given upon touching another player)
77,0xA438 | 3FB33333 | 1.4 | Player on player collision z-push | (How much momentum is given upon touching another player),0xA438,3FB33333,1.4,Player on player collision z-push,(How much momentum is given upon touching another player)
78,0xA448 | 40C00000 | 6 | max frames since joystick cardinal direction change into Y-axis for shield dropping | (doesn't SDI if hold count is greater than or equal to 6),0xA448,40C00000,6,max frames since joystick cardinal direction change into Y-axis for shield dropping,(doesn't SDI if hold count is greater than or equal to 6)
79,0xA444 | 3F28F5C3 | 0.66 | Y joystick for shield dropping (negated),0xA444,3F28F5C3,0.66,Y joystick for shield dropping (negated),
80,0xA474 | 3E800000 | 0.25 | Joystick position to drop from ledge,0xA474,3E800000,0.25,Joystick position to drop from ledge,
81,0xA478 | 0000001E | 30 | Frames before you can regrab the ledge,0xA478,0000001E,30,Frames before you can regrab the ledge,
82,0xA47C | 0000001E | 30 | Frames of ledge intangibility,0xA47C,0000001E,30,Frames of ledge intangibility,
83,0xA490 | 3F333333 | 0.7 | minimum smash DI threshold formula number | If (xjoy * xjoy) + (yjoy * yjoy) < (0.7 * 0.7) Apply no SDI,0xA490,3F333333,0.7,minimum smash DI threshold formula number,If (xjoy * xjoy) + (yjoy * yjoy) < (0.7 * 0.7) Apply no SDI
84,0xA494 | 00000004 | 4 | cardinal direction change for Smash DI | (greater than or equal to is false),0xA494,00000004,4,cardinal direction change for Smash DI,(greater than or equal to is false)
85,0xA498 | 40C00000 | 6 | smash DI x/y coord movement normalization | (joystick value multiplied by this) (SDI Strength),0xA498,40C00000,6,smash DI x/y coord movement normalization,(joystick value multiplied by this) (SDI Strength)
86,0xA49C | 40400000 | 3 | Initial spawn platform player stretch timer (Keyframes of player stretching),0xA49C,40400000,3,Initial spawn platform player stretch timer (Keyframes of player stretching),
87,0xA4D4 | 3F4CCCCD | 0.8 | Blast zone death blast graphic scale,0xA4D4,3F4CCCCD,0.8,Blast zone death blast graphic scale,
88,0xA4E0 | 0000003C | 60 | Death respawn timer (how long before you respawn),0xA4E0,0000003C,60,Death respawn timer (how long before you respawn),
89,0xA5E0 | 41100000 | 9 | Grounded attack element reduction per input (frames),0xA5E0,41100000,9,Grounded attack element reduction per input (frames),
90,0xA5EC | 3F333333 | 0.7 | Multiplier for damage in bury formula,0xA5EC,3F333333,0.7,Multiplier for damage in bury formula,
91,0xA600 | 00000012 | 18 | Grounded attack element frames of invincibilty on exit,0xA600,00000012,18,Grounded attack element frames of invincibilty on exit,
92,0xA668 | 000001E0 | 480 | super/poison mushroom timing (frames),0xA668,000001E0,480,super/poison mushroom timing (frames),
93,0xA66C | 00000064 | 100 | damage percent compare when obtaining mushroom,0xA66C,00000064,100,damage percent compare when obtaining mushroom,
94,0xA670 | 000000B4 | 180 | super/poison mushroom timing if > 100% damage (I think) | (Setting this to zero will probably hang upon starting a game!),0xA670,000000B4,180,super/poison mushroom timing if > 100% damage (I think),(Setting this to zero will probably hang upon starting a game!)
95,0xA6A0 | 0000001E | 30 | Player is Stretched out at start of match. Both this and Platform compression timer run at same time. Both must be complete to leave platform,0xA6A0,0000001E,30,,Player is Stretched out at start of match. Both this and Platform compression timer run at same time. Both must be complete to leave platform
96,0xA6A4 | 0000001E | 30 | Initial spawn platform compression timer (Volume of spawn platform) | Spawn platform is compressed to nothing,0xA6A4,0000001E,30,Initial spawn platform compression timer (Volume of spawn platform),Spawn platform is compressed to nothing
97,0xA748 | 43020000 | 130 | disable walljumping after riding wall for this time (frames),0xA748,43020000,130,disable walljumping after riding wall for this time (frames),
98,0xA74C | 3F4CCCCD | 0.8 | joystick x axis min value for walljumping,0xA74C,3F4CCCCD,0.8,joystick x axis min value for walljumping,
99,0xA750 | 40400000 | 3 | max frames since joystick cardinal direction change into x-axis for walljumping & spot dodging,0xA750,40400000,3,max frames since joystick cardinal direction change into x-axis for walljumping & spot dodging,
100,"0xA754 | 00000005 | 5 | frames of ""stick to wall"" during walljump",0xA754,00000005,5,"frames of ""stick to wall"" during walljump",
101,"0xA788 | 3C23D70A | 0.01 | Max amount of overlap between hitboxes to count as phantom | If the overlap between a hitbox and hurtbox is less than or equal to this number, but greater than 0, hit will be phantom",0xA788,3C23D70A,0.01,Max amount of overlap between hitboxes to count as phantom,"If the overlap between a hitbox and hurtbox is less than or equal to this number, but greater than 0, hit will be phantom"
102,0xA78C | 0000003C | 60 | Magnifier loop damage loop time (frames),0xA78C,0000003C,60,Magnifier loop damage loop time (frames),
103,0xA790 | 00000096 | 150 | Magnifier loop damage max percent allowed | Any percent higher and you won't take damage,0xA790,00000096,150,Magnifier loop damage max percent allowed,Any percent higher and you won't take damage
104,0xA794 | 00000001 | 1 | Magnifier loop damage,0xA794,00000001,1,Magnifier loop damage,
105,0xA7AC | 00000258 | 600 | Cloaking Device duration (frames),0xA7AC,00000258,600,Cloaking Device duration (frames),
106,0xA7C8 | 00000104 | 260 | Meteor smash lower angle limit | (Lowest angle for meteor smash),0xA7C8,00000104,260,Meteor smash lower angle limit,(Lowest angle for meteor smash)
107,0xA7CC | 00000118 | 280 | Meteor smash upper angle limit | (Highest angle for meteor smash),0xA7CC,00000118,280,Meteor smash upper angle limit,(Highest angle for meteor smash)
108,0xA7D0 | 00000008 | 8 | Meteor cancel window timing(frames),0xA7D0,00000008,8,Meteor cancel window timing(frames),
109,0xC768 | 48000000 | Unknown | Smash charge aura lighting/blinking | (Very unexplored format),0xC768,48000000,Unknown,Smash charge aura lighting/blinking,(Very unexplored format)
110,"0xC76C | FFFF80AA | 255,255,128,170 | Smash charge aura color | (rgb(a?))",0xC76C,FFFF80AA,"255,255,128,170",Smash charge aura color,(rgb(a?))
111,"0xCEB8 | F2595900 | 242,89,89 | Player 1 shield color | (rgb(a?))",0xCEB8,F2595900,"242,89,89",Player 1 shield color,(rgb(a?))
112,"0xCEBC | 6666FF00 | 102,102,255 | Player 2 shield color | (rgb(a?)) find me",0xCEBC,6666FF00,"102,102,255",Player 2 shield color,(rgb(a?)) find me
113,"0xCEC0 | FFBF4000 | 255,19,244 | Player 3 shield color | (rgb(a?))",0xCEC0,FFBF4000,"255,19,244",Player 3 shield color,(rgb(a?))
114,"0xCEC4 | 4DE64D00 | 77,54,77 | Player 4 shield color | (rgb(a?))",0xCEC4,4DE64D00,"77,54,77",Player 4 shield color,(rgb(a?))
115,"0xCEC8 | 80808000 | 128,128,128 | CPU shield color | (rgb(a?))",0xCEC8,80808000,"128,128,128",CPU shield color,(rgb(a?))
116,"0xCECC | FFCCCC00 | 255,204,204 | Player 1 death flash color | (rgb(a?))",0xCECC,FFCCCC00,"255,204,204",Player 1 death flash color,(rgb(a?))
117,"0xCED0 | CCCCCC00 | 204,204,204 | Player 2 death flash color | (rgb(a?))",0xCED0,CCCCCC00,"204,204,204",Player 2 death flash color,(rgb(a?))
118,"0xCED4 | FFFFB200 | 255,255,178 | Player 3 death flash color | (rgb(a?))",0xCED4,FFFFB200,"255,255,178",Player 3 death flash color,(rgb(a?))
119,"0xCED8 | CCFFCC00 | 204,255,204 | Player 4 death flash color | (rgb(a?))",0xCED8,CCFFCC00,"204,255,204",Player 4 death flash color,(rgb(a?))
120,"0xCEDC | FFFFFF00 | 255,255,255 | CPU death flash color | (rgb(a?))",0xCEDC,FFFFFF00,"255,255,255",CPU death flash color,(rgb(a?))
